"ZT","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1"
42,16.525,5.83299999999997,22.939,9.09199999999998,18.0759999999999,7.53800000000001,16.276,18.799,8.13900000000001,18.3869999999999,27.6759999999999,6.59100000000001,11.284,18.622,6.66099999999994,17.3059999999999,15.2619999999999,20.812,10.9109999999999,19.078,17.1099999999999,19.386,20.2109999999999,13.7479999999999,5.24599999999998,12.353,13.313,11.554,19.5599999999999,12.491,19.976,15.861
44,14.7283333333334,5.08833333333337,22.0393333333334,8.62433333333331,17.2803333333334,6.96333333333337,15.1793333333334,17.0743333333334,6.92533333333336,17.2473333333334,27.4863333333333,5.75833333333333,9.4613333333333,18.8813333333334,5.58033333333333,15.1073333333334,13.5303333333334,17.5833333333334,10.1053333333333,17.2483333333333,15.9653333333333,16.5803333333333,18.9643333333333,12.6173333333334,4.82833333333338,12.7813333333334,11.5683333333334,10.8333333333334,19.3653333333333,11.0493333333334,19.5683333333334,14.3463333333333
46,15.7436666666667,5.0336666666667,28.0636666666667,9.63166666666666,17.4816666666667,6.83966666666674,16.9506666666667,18.5276666666667,6.72766666666666,20.2986666666667,35.2366666666667,5.79166666666674,8.90366666666671,19.6606666666668,5.50666666666666,14.2876666666667,12.6846666666667,20.8226666666667,9.82266666666669,16.6196666666667,17.6576666666667,16.9546666666668,19.6006666666667,12.5066666666667,5.5626666666667,15.5796666666668,11.5616666666667,10.2936666666667,20.9116666666667,12.7716666666668,24.5296666666667,15.0426666666667
48,18.7013333333333,5.85133333333329,46.3453333333333,12.0053333333333,21.6513333333332,7.73133333333328,22.1883333333333,23.7573333333333,6.76833333333332,28.5123333333333,52.9843333333333,6.26633333333325,8.96233333333328,23.3263333333333,5.78233333333333,15.6533333333333,13.5013333333333,23.3503333333333,10.7403333333333,19.1223333333332,28.2543333333333,23.1443333333333,22.4273333333333,14.2493333333333,6.8893333333333,23.8343333333333,13.7313333333333,10.5613333333333,30.0323333333333,17.2663333333333,35.8053333333332,17.6453333333333
50,24.7486666666666,7.48066666666671,68.8446666666666,15.3896666666667,30.3866666666667,9.81666666666672,30.2356666666667,32.5976666666667,7.20066666666662,37.8106666666666,74.3606666666667,6.3896666666667,10.6276666666666,30.7586666666667,6.24166666666667,18.4846666666667,16.5336666666667,31.9516666666667,14.3056666666666,25.1626666666667,39.6626666666667,28.1046666666666,28.4836666666666,18.2126666666667,8.9136666666667,34.2116666666667,17.8986666666667,12.2676666666666,38.8276666666667,23.8836666666667,48.6836666666667,22.6516666666666
52,32.796,9.28500000000008,80.8520000000001,17.226,36.4540000000001,11.95,38.5070000000001,40.109,8.24300000000005,47.547,86.278,6.82600000000002,12.22,39.7220000000001,7.21600000000001,24.9540000000001,20.423,41.6610000000001,16.754,35.668,47.138,35.394,42.162,23.7610000000001,10.741,37.9540000000001,22.38,15.9000000000001,45.606,25.74,51.4440000000001,34.1360000000001
54,38.831,11.3630000000001,81.579,19.663,40.924,13.394,45.296,43.244,10.7569999999999,51.213,86.903,8.13700000000006,14.7190000000001,46.87,9.53200000000004,32.431,24.865,50.077,18.91,42.348,47.5410000000001,37.9160000000001,55.593,29.409,12.2809999999999,34.419,27.341,19.62,52.256,26.12,47.216,37.357
56,40.2506666666667,12.8026666666667,74.0936666666668,20.5926666666667,41.2626666666667,14.1716666666667,47.4736666666668,42.9096666666667,12.6606666666668,50.6946666666668,76.8936666666667,9.46066666666673,17.0786666666667,51.1876666666667,11.2336666666667,38.6106666666667,27.9636666666668,46.7866666666667,20.6486666666667,41.9026666666667,41.1206666666667,35.8246666666668,57.4936666666667,31.8436666666668,12.7186666666668,26.3586666666667,29.1656666666668,21.0966666666667,54.9166666666667,23.2836666666667,41.4516666666667,36.0986666666668
58,38.2593333333333,13.6963333333333,62.7903333333334,20.5143333333333,38.7023333333334,14.3653333333333,46.3843333333333,39.7733333333333,14.4033333333333,46.0533333333334,65.6793333333334,9.54333333333329,18.2643333333333,49.3593333333333,12.6753333333334,41.3653333333333,29.4023333333333,39.6343333333333,21.9473333333334,38.0773333333334,35.6583333333333,31.5553333333334,55.4053333333334,32.5133333333333,11.6123333333334,21.1283333333333,29.0093333333333,21.2643333333333,52.1863333333333,19.6403333333334,36.0043333333333,33.6153333333333
60,34.9,13.381,50.9,19.567,36.058,13.851,43.1229999999999,35.668,15.0659999999999,42.141,57.504,9.74000000000001,17.99,43.645,13.999,40.23,29.539,33.117,21.284,33.7569999999999,32.3829999999999,27.658,50.9789999999999,30.9,10.7569999999999,17.851,26.7669999999999,21.284,47.982,17.665,32.1519999999999,30.442
62,31.7176666666667,12.8906666666667,44.2926666666667,18.6526666666666,34.3166666666667,13.7426666666667,40.4936666666666,32.4066666666666,14.6496666666667,37.6166666666667,50.5726666666667,9.33066666666673,16.8036666666667,38.9516666666667,14.7156666666667,36.5826666666667,28.5686666666667,28.8816666666667,19.8976666666666,33.5616666666667,29.8126666666667,24.4506666666666,46.7046666666666,28.7446666666667,9.98266666666666,15.2166666666667,23.8176666666667,19.7416666666667,44.9016666666666,14.5286666666667,30.2516666666667,28.3796666666667
64,27.971,12.072,38.927,17.737,32.801,13.228,37.21,29.49,13.966,33.986,45.747,9.53399999999999,16.346,35.752,14.79,32.942,31.066,25.1559999999999,18.766,34.337,27.646,22.0309999999999,44.509,28.963,8.78099999999995,13.799,21.2,17.756,44.1950000000001,12.915,25.8920000000001,27.64
66,24.674,11.496,34.448,16.819,28.603,12.9929999999999,34.4409999999999,25.002,12.985,31.0699999999999,41.842,9.56700000000001,14.794,32.836,14.764,30.415,31.2339999999999,22.091,16.3869999999999,29.202,23.986,19.27,41.4929999999999,26.62,7.75699999999995,13.571,18.6899999999999,15.324,40.342,11.679,24.925,26.39
68,22.5296666666667,11.2986666666667,34.2496666666667,16.4736666666666,26.3836666666666,12.3416666666667,32.4346666666667,21.9726666666667,11.9786666666666,29.9606666666666,43.5946666666666,10.6256666666667,13.3226666666667,30.3776666666666,13.9936666666666,28.3316666666667,32.2576666666666,19.9956666666667,15.7586666666666,25.6346666666667,23.7546666666667,16.8176666666667,41.0186666666667,24.6836666666667,6.90366666666671,14.9336666666667,17.3346666666666,13.6816666666666,39.6656666666667,12.4186666666667,25.5156666666667,24.4176666666667
70,23.7616666666667,10.8716666666667,44.7716666666666,17.9526666666667,28.6896666666667,12.2096666666666,32.8286666666667,21.7166666666667,11.3166666666666,38.1216666666667,58.4296666666667,10.9076666666666,12.2286666666666,30.9506666666666,13.8516666666667,26.7256666666666,32.3676666666667,21.6636666666667,18.1566666666666,27.0076666666666,30.7456666666667,18.0876666666667,45.0216666666666,24.5046666666667,6.84266666666667,22.1516666666666,16.5596666666667,12.1596666666667,49.6986666666667,17.0656666666666,34.9456666666666,24.9636666666667
72,32.621,12.5550000000001,67.12,23.804,34.4830000000001,13.974,38.152,26.011,11.403,53.4930000000001,85.862,11.348,12.22,38.715,15.3050000000001,31.157,36.963,30.63,19.926,36.888,44.835,25.331,58.643,30.12,8.28600000000006,37.3340000000001,18.09,12.409,74.059,27.063,53.542,31.731
74,46.2323333333334,14.6833333333334,90.3473333333334,28.9393333333334,43.5393333333334,17.2383333333333,47.1153333333334,32.1793333333334,12.2493333333334,74.8843333333334,115.217333333333,11.9423333333334,12.8473333333334,50.2313333333334,16.6903333333333,36.7743333333334,44.5563333333333,45.9663333333334,23.1653333333334,48.2863333333333,59.6673333333334,38.9723333333334,76.6363333333334,39.8303333333333,9.96833333333336,48.9683333333334,21.9623333333334,13.3403333333333,96.2523333333334,36.1123333333334,67.6773333333334,43.5923333333334
76,59.5353333333334,17.8033333333334,101.271333333333,33.3903333333334,54.6233333333333,21.7523333333334,57.1123333333334,38.7703333333334,17.7683333333333,89.8393333333333,123.357333333333,14.1363333333334,15.0973333333334,63.7543333333333,18.8593333333333,46.9853333333333,52.0773333333334,61.0673333333333,29.3023333333333,68.9243333333334,64.7373333333334,50.1473333333333,92.1923333333333,54.1343333333333,12.3633333333333,49.7673333333333,29.7233333333334,15.0893333333333,99.0123333333333,33.0843333333333,71.7063333333333,55.2053333333333
